UA,PLANDF_1KM,PLANDF_2KM,PLANDF_3KM,PLANDF_4KM,PLANDF_5KM,CAF_1KM,CAF_2KM,CAF_3KM,CAF_4KM,CAF_5KM, NPF_1KM, NPF_2KM, NPF_3KM, NPF_4KM, NPF_5KM,PDF_1KM,PDF_2KM,PDF_3KM,PDF_4KM,PDF_5KM,TEF_1KM,TEF_2KM,TEF_3KM,TEF_4KM,TEF_5KM, EDF_1KM, EDF_2KM, EDF_3KM, EDF_4KM, EDF_5KM, PARAF_MN _1KM, PARAF_MN _2KM, PARAF_MN _3KM, PARAF_MN _4KM, PARAF_MN _5KM, PROXF_MN_1KM, PROXF_MN_2KM, PROXF_MN_3KM, PROXF_MN_4KM, PROXF_MN_5KM, ENNF_MN _1KM, ENNF_MN _2KM, ENNF_MN _3KM, ENNF_MN _4KM, ENNF_MN _5KM, CONNECTF_1KM, CONNECTF_2KM, CONNECTF_3KM, CONNECTF_4KM, CONNECTF_5KM,
UA01,11.416,19.345,27.543,28.441,28.095,35.550,239.760,769.140,1413.810,2181.960,5.000,22.000,40.000,67.000,112.000,1.606,1.775,1.432,1.348,1.442,8940.000,48450.000,114270.000,180780.000,273900.000,28.709,39.092,40.920,36.367,35.267,415.596,530.151,489.509,501.229,492.935,1.453,40.946,251.820,327.334,207.365,365.961,144.001,143.114,158.092,166.941,100.000,61.472,40.256,26.187,18.565,
UA02,5.206,7.740,9.043,11.775,11.845,16.290,96.300,252.900,584.820,919.440,7.000,34.000,83.000,143.000,214.000,2.237,2.733,2.968,2.879,2.757,7050.000,34770.000,84150.000,156300.000,254820.000,22.529,27.947,30.089,31.471,32.829,653.551,630.106,624.224,590.054,551.730,0.549,4.238,8.804,15.471,18.168,395.612,217.034,168.867,154.977,155.152,100.000,56.328,32.677,22.299,15.524,
UA03,5.131,17.917,17.370,15.895,15.403,16.020,223.110,485.910,789.390,1195.740,12.000,36.000,81.000,140.000,224.000,3.844,2.891,2.896,2.819,2.885,7590.000,49170.000,110460.000,198150.000,309660.000,24.311,39.486,39.486,39.898,39.888,603.256,544.537,553.377,528.519,525.145,0.957,20.654,35.800,33.249,30.277,213.797,153.254,148.018,152.798,154.984,100.000,64.603,36.235,23.895,15.999,
UA04,23.584,13.169,12.226,13.770,13.835,73.440,163.350,341.280,684.810,1074.150,11.000,31.000,68.000,131.000,182.000,3.532,2.499,2.436,2.634,2.344,19560.000,46080.000,100710.000,208230.000,313350.000,62.813,37.150,36.077,41.871,40.358,591.507,555.331,580.922,570.583,543.866,30.649,25.761,19.659,23.328,27.114,126.936,138.726,151.838,119.181,138.416,100.000,70.108,38.367,22.666,17.570,
UA05,7.044,6.364,7.723,8.927,11.581,21.870,79.110,215.910,443.970,899.370,11.000,30.000,65.000,118.000,153.000,3.543,2.413,2.325,2.373,1.970,9270.000,30990.000,83700.000,163500.000,257880.000,29.855,24.930,29.940,32.874,33.207,672.597,575.150,636.804,682.414,615.869,2.549,4.707,11.896,19.817,31.265,220.870,185.204,137.605,148.765,150.399,100.000,67.356,32.981,20.817,17.191,
UA06,13.819,12.765,11.458,10.345,11.706,43.020,158.130,319.860,514.440,908.370,6.000,35.000,77.000,116.000,187.000,1.927,2.825,2.758,2.333,2.410,12240.000,46740.000,98190.000,157800.000,260220.000,39.318,37.731,35.172,31.733,33.535,492.484,560.882,520.510,499.271,514.006,4.692,14.164,14.121,14.694,18.856,245.093,144.903,146.689,142.861,135.783,100.000,57.311,37.355,25.577,15.686,
UA07,29.254,21.410,19.614,18.026,18.115,91.440,266.760,548.370,895.230,1406.340,16.000,44.000,96.000,161.000,244.000,5.119,3.531,3.434,3.242,3.143,20970.000,60270.000,134400.000,225390.000,361110.000,67.089,48.372,48.073,45.382,46.516,552.063,560.410,546.416,513.301,516.897,23.222,30.181,29.343,26.485,31.152,127.109,133.838,126.243,129.810,123.580,100.000,65.011,35.768,24.387,17.122,
UA08,11.595,13.385,13.622,18.046,19.495,36.180,165.870,380.250,897.480,1513.440,8.000,31.000,74.000,124.000,172.000,2.564,2.502,2.651,2.493,2.216,10740.000,46830.000,121260.000,234180.000,345480.000,34.420,37.790,43.439,47.087,44.503,522.457,638.660,566.188,590.253,559.046,9.429,16.902,16.005,46.240,91.873,141.243,141.844,128.832,128.378,126.283,100.000,52.903,34.321,24.705,17.782,
UA09,11.367,18.923,19.836,19.247,20.199,35.550,235.530,553.590,956.160,1567.980,14.000,39.000,87.000,149.000,209.000,4.476,3.133,3.117,2.999,2.692,12330.000,60540.000,147420.000,255360.000,402780.000,39.425,48.638,52.822,51.403,51.886,604.410,585.386,537.635,517.639,519.191,4.559,27.994,28.848,33.854,43.455,142.970,132.781,127.925,126.658,127.685,100.000,60.864,35.659,23.173,16.861,
UA10,24.668,21.711,23.480,18.791,17.098,76.950,269.910,656.730,933.120,1327.770,9.000,38.000,82.000,143.000,212.000,2.885,3.057,2.932,2.880,2.730,16770.000,63000.000,140400.000,217020.000,316440.000,53.760,50.677,50.196,43.703,40.750,521.451,503.335,570.802,571.989,548.962,20.574,23.323,30.871,39.793,35.246,113.404,127.940,114.314,135.463,138.112,100.000,58.748,37.579,25.027,17.406,
